"Bronnen";"Perioden";"Emissies/Emissie VOS totaal/Totaal (mln kg)";"Emissies/Emissie NOx/Totaal (mln kg)";"Emissies/Emissie PM10 door verbranding/Totaal (mln kg)";"Emissies/Emissie SO2/Totaal (mln kg)"
"Bromfietsen";"1990";"   25.24";"    0.19";"    0.34";"    0.03"
"Bromfietsen";"2000";"   16.70";"    0.17";"    0.23";"    0.01"
"Bromfietsen";"2010";"    9.43";"    0.24";"    0.12";"    0.00"
"Bromfietsen";"2014";"    7.97";"    0.23";"    0.09";"    0.00"
"Bromfietsen";"2015";"    7.70";"    0.23";"    0.09";"    0.00"
"Bromfietsen";"2016";"    7.44";"    0.22";"    0.08";"    0.00"
"Bromfietsen (benzine)";"1990";"   25.24";"    0.19";"    0.34";"    0.03"
"Bromfietsen (benzine)";"2000";"   16.70";"    0.17";"    0.23";"    0.01"
"Bromfietsen (benzine)";"2010";"    9.43";"    0.24";"    0.12";"    0.00"
"Bromfietsen (benzine)";"2014";"    7.97";"    0.23";"    0.09";"    0.00"
"Bromfietsen (benzine)";"2015";"    7.70";"    0.23";"    0.09";"    0.00"
"Bromfietsen (benzine)";"2016";"    7.44";"    0.22";"    0.08";"    0.00"
